Number,Name,Class,Position,Birth City,HighSchool ,School
4,Ahmad Caver,Sr,PG,Suwanee (GA),St. John's Northwest Military Academy,Old Dominion
23,Dajour Dickens,So,C,Hampton (VA),Bethel High School,Old Dominion
22,Kalu Ezikpe,Fr,FC,Lawrenceville (GA),Discovery High School,Old Dominion
0,Marquise Godwin,So,GF,Hampton (VA),Hampton High School,Old Dominion
10,Xavier Green,So,SG,Williamsburg (VA),Williamsburg Christian Academy,Old Dominion
12,Quishon Harris,Fr,PG,Hampton (VA),Hampton High School,Old Dominion
2,Justice Kithcart,So,PG,Durham (NC),Virginia Episcopal School,Old Dominion
21,Alfredos Pilavios,RS-So,PF,Athens,Moraitis School,Old Dominion
15,Joe Reece,Fr,PF,St. Louis (MO),Vashon High School,Old Dominion
25,Elbert Robinson III,Sr,C,Garland (TX),Lakeview Centennial High School,Old Dominion
3,B.J. Stith,Sr,G,Brunswick (VA),Brunswick High School,Old Dominion
1,Jason Wade,Fr,PG,Richmond (VA),Trinity Episcopal School,Old Dominion
4,Ehab Amin,Sr,G,Alexandria,St. John's Northwest Military Academy,Oregon
10,"Victor Bailey, Jr.",So,SG,Austin (TX),McNeil High School,Oregon
1,Bol Bol,Fr,C,Olathe (KS),Findlay College Prep,Oregon
54,Will Johnson,Fr,G,Pacific Palisades (CA),Palisades Charter High School,Oregon
24,Abu Kigab,So,G,Melbourne,Prolific Prep,Oregon
2,Louis King,Fr,SF,Roselle (NJ),Hudson Catholic Regional High School,Oregon
5,Miles Norris,Fr,PF,Chula Vista (CA),Brewster Academy,Oregon
33,Francis Okoro,Fr,PF,Imo,Normal Community West High School,Oregon
25,Luke Osborn,So,G,Clackamas (OR),Tualatin High School,Oregon
3,Payton Pritchard,Jr,PG,West Linn (OR),West Linn High School,Oregon
0,Will Richardson,Fr,PG,Hinesville (GA),Oak Hill Academy,Oregon
13,Paul White,Sr,PF,Chicago (IL),Whitney Young High School,Oregon
14,Kenny Wooten,So,PF,Manteca (CA),Manteca High School,Oregon
3,Javon Bess,Sr,F,Columbus (OH),Lincoln High School,Saint Louis
12,Brandon Courtney,Fr,G,Tremont (IL),Wesclin High School,Saint Louis
1,D.J. Foreman,Sr,SF,Spring Valley (NY),Massanutten Military Academy,Saint Louis
11,Hasahn French,So,SF,Middletown (NY),Commonwealth School,Saint Louis
0,Jordan Goodwin,So,SG,Belleville (IL),Althoff Catholic High School,Saint Louis
5,Carte'Are Gordon,Fr,F,St. Louis (MO),Webster Groves High School,Saint Louis
24,Ingvi Thor Gudmundsson,Fr,G,Grindavik,N/A,Saint Louis
23,K.C. Hankton,Fr,F,Charlotte (NC),United Faith Christian Academy,Saint Louis
2,Tramaine Isabell,Sr,G,Seattle (WA),Garfield High School,Saint Louis
15,Demarius Jacobs,Fr,SG,Chicago (IL),Hillcrest Prep,Saint Louis
31,Jack Raboin,Jr,G,Mattoon (IL),Mattoon High School,Saint Louis
20,Fred Thatch,Fr,SG,Sikeston (MO),Sikeston High School,Saint Louis
33,Elliott Welmer,So,PF,Columbus (IN),Bridgton Academy,Saint Louis
4,Dion Wiley,Sr,SG,Newark (NJ),Potomac High School,Saint Louis
33,Kyle Clark,Jr,SF,Wynyard,Hellyer College,Saint Mary's
2,Quinn Clinton,Fr,G,Christchurch,Christchurch Boys' High School,Saint Mary's
24,Malik Fitts,So,SF,La Verne (CA),Damien High School,Saint Mary's
3,Jordan Ford,Jr,PG,Folsom (CA),Folsom High School,Saint Mary's
42,Dan Fotu,Fr,PF,Auckland,Rangitoto School,Saint Mary's
1,Jordan Hunter,Sr,C,Sydney,Ignatius Park College,Saint Mary's
0,Tanner Krebs,Jr,G,Hobart,Lake Ginniderra High School,Saint Mary's
12,Tommy Kuhse,So,G,Mesa (AZ),Mountain View High School,Saint Mary's
41,Aaron Menzies,RS-Sr,C,Manchester,Loreto High School Chorlton,Saint Mary's
35,Alex Mudronja,Fr,PG,Adelaide,Lake Ginniderra High School,Saint Mary's
5,Jock Perry,So,C,Melbourne,Australian Centre of Excellence,Saint Mary's
15,Dan Sheets,Jr,F,San Ramon (CA),Dougherty Valley High School,Saint Mary's
11,Matthias Tass,Fr,PF,Tallinn,N/A,Saint Mary's
10,Elijah Thomas,So,SF,Peoria (AZ),Sunrise Mountain High School,Saint Mary's
23,Kristers Zoriks,Fr,PG,Dobele,New Hampton School,Saint Mary's
30,Asiah Avent,Jr,G,Somerville (NJ),Immaculata High School,Senton Hall
32,Darnell Brodie,Fr,F,Newark (NJ),East Side High School,Senton Hall
22,Myles Cale,So,G,Middletown (DE),Appoquinimink High School,Senton Hall
35,Romaro Gill,RS-Sr,C,St. Thomas (VI),St. Thomas Technical High School,Senton Hall
23,Sandro Mamukelashvili,So,F,Tbilisi,Montverde Academy,Senton Hall
0,Quincy McKnight,Jr,SG,Bridgeport (CT),Phelps Prep,Senton Hall
2,Anthony Nelson,Fr,PG,New York (NY),South Kent School,Senton Hall
1,Michael Nzei,Sr,F,Makurdi,Our Savior New American School,Senton Hall
13,Myles Powell,Jr,SG,Trenton (NJ),South Kent School,Senton Hall
33,Shavar Reynolds,So,G,Manchester Township (NJ),Manchester Township High School,Senton Hall
14,Jared Rhoden,Fr,SG,Bronx (NY),Our Saviour Lutheran School,Senton Hall
15,Taurean Thompson,So,C,Jersey City (NJ),Brewster Academy,Senton Hall
0,J.C. Butler,Fr,F,Racine (WI),The Prairie School,UC Irvine
3,Robert Cartwright,Sr,G,Pasadena (CA),Flintridge Preparatory School,UC Irvine
1,Devin Cole,RS-Fr,G,Ventura (CA),Buena High School,UC Irvine
11,John Edgar,Jr,F,Chino Hills (CA),Ayala High School,UC Irvine
5,Jonathan Galloway,Sr,F,Brentwood (CA),Salesian College Prep,UC Irvine
55,Brad Greene,RS-Jr,C,Lone Pine (CA),Lone Pine High School,UC Irvine
2,Max Hazzard,Jr,PG,Los Angeles (CA),Loyola High School,UC Irvine
50,Elston Jones,Sr,F,Goodyear (AZ),Millenium High School,UC Irvine
4,Aiden Krause,RS-Fr,G,Brisbane,The Centre of Excellence,UC Irvine
14,Evan Leonard,Jr,PG,Cerritos (CA),Cerritos High School,UC Irvine
25,Spencer Rivers,Sr,G,Winter Park (FL),Winter Park High School,UC Irvine
35,Solomon Ruddell,Fr,C,Pottstown (PA),The Hill School,UC Irvine
42,Tommy Rutherford,Jr,C,San Diego (CA),Grossmont High School,UC Irvine
23,Darrian Traylor,Jr,SG,Las Vegas (NV),Centennial High School,UC Irvine
40,Collin Welp,Fr,PF,Seattle (WA),Seattle Preparatory School,UC Irvine
24,Eyassu Worku,Jr,PG,Los Alamitos (CA),Los Alamitos High School,UC Irvine
2,Terrell Allen,Jr,PG,Upper Marlboro (MD),DeMatha Catholic High School,UCF
25,Ryan Anders,Fr,F,Tampa (FL),Wharton High School,UCF
20,Frank Bertz,Jr,F,Hesperia (CA),Sultana High School,UCF
21,Chad Brown,Sr,C,Deltona (FL),Deltona High School,UCF
31,Anthony Catotti,Sr,F,Sanford (FL),Seminole High School,UCF
15,Aubrey Dawkins,Jr,F,Palo Alto (CA),New Hampton School,UCF
4,Ceasar DeJesus,So,G,Jersey City (NJ),Mount Zion Baptist Christian School,UCF
5,Myles Douglas,RS-So,SF,Baltimore (MD),Paul VI High School,UCF
24,Tacko Fall,Sr,C,Dakar,Liberty Christian Preparatory School,UCF
3,Dre Fuller,RS-Fr,SF,St. Petersburg (FL),Admiral Farragut Academy,UCF
12,Xavier Grant,Fr,G,Fort Lauderdale (FL),American Heritage School,UCF
10,Dayon Griffin,Sr,G,St. Petersburg (FL),St. Petersburg High School,UCF
22,Chance McSpadden,Jr,SG,Winter Haven (FL),Winter Haven High School,UCF
13,Levy Renaud,Fr,GF,Fort Lauderdale (FL),NSU University School,UCF
35,Collin Smith,So,C,Jacksonville (FL),The Bolles School,UCF
20,Brock Stephenson,Jr,G,Miami (FL),Dade Christian High School,UCF
1,B.J. Taylor,Sr,PG,Orlando (FL),William R. Boone High School,UCF
11,Rokas Ulvydas,Jr,PF,Kaunas,Mount Zion Baptist Christian School,UCF
35,Ryan Davis,Fr,F,River Grove (IL),James B. Conant High School,Vermont 
5,Samuel Dingba,Sr,F,Yaounde,Salisbury School,Vermont 
20,Ernie Duncan,Sr,G,Evansville (IN),Harrison High School,Vermont 
21,Everett Duncan,Jr,SG,Evansville (IN),William Henry Harrison High School,Vermont 
4,Robin Duncan,Fr,SG,Evansville (IN),Evansville Central High School,Vermont 
25,Kevin Garrison,Fr,G,Burlington (VT),Burlington High School,Vermont 
14,Ra Kpedi,So,F,Indianapolis (IN),Lawrence North High School,Vermont 
3,Anthony Lamb,Jr,PF,Rochester (NY),Greece Athena High School,Vermont 
44,Jake Lorenzo,Fr,C,Englishtown (NJ),Point Pleasant High School,Vermont 
14,Isaiah Moll,Fr,F,Albany (NY),Colonie High School,Vermont 
1,Skyler Nash,Fr,SF,Chicago (IL),Whitney Young High School,Vermont 
12,Bailey Patella,So,F,Lenox (MA),Vermont Academy,Vermont 
24,Ben Shungu,So,G,South Burlington (VT),Rice Memorial High School,Vermont 
0,Stef Smith,So,PG,Toronto,Bill Crothers Secondary,Vermont 
32,Josh Speidel,So,C,Columbus (IN),Columbus North High School,Vermont 
20,Quin Barnard,So,G,Bellevue (WA),O'Dea High School,Washington
0,Jamal Bey,Fr,SG,Las Vegas (NV),Bishop Gorman High School,Washington
11,Nahziah Carter,So,SF,Rochester (NY),Bishop Kearney High School,Washington
12,Jason Crandall,So,G,Issaquah (WA),Issaquah High School,Washington
1,David Crisp,Sr,PG,Lakewood (WA),Brewster Academy,Washington
15,Noah Dickerson,Sr,PF,Atlanta (GA),Montverde Academy,Washington
23,Jonah Geron,RS-Fr,F,Fresno (CA),San Joaquin Memorial High School,Washington
22,Dominic Green,Sr,SF,Renton (WA),Hazen High School,Washington
10,Elijah Hardy,Fr,PG,Oakland (CA),Bishop O'Dowd High School,Washington
34,Reagan Lundeen,Fr,SF,Santa Ana (CA),Mater Dei High School,Washington
21,Noah Neubauer,RS-Fr,G,Seattle (WA),Garfield High School,Washington
5,Jaylen Nowell,So,SG,Seattle (WA),Garfield High School,Washington
14,Bryan Penn-Johnson,RS-Fr,C,Las Vegas (NV),Wasatch Academy,Washington
30,Travis Rice,So,G,Las Vegas (NV),Bishop Gorman High School,Washington
24,Nate Roberts,RS-Fr,PF,Wolfeboro (NH),Brewster Academy,Washington
35,Riley Sorn,RS-Fr,C,Richland (WA),Richland High School,Washington
4,Matisse Thybulle,Sr,SF,Sammamish (WA),Eastside Catholic High School,Washington
33,Sam Timmins,Jr,C,Christchurch,Middleton Grange School,Washington
13,Hameir Wright,So,PF,Albany (NY),The Albany Academy,Washington
14,Jameel Alausa,So,F,Chicago (IL),University of Chicago Laboratory Schools,Yale
20,Paul Atkinson,So,F,West Palm Beach (FL),Westminster Academy,Yale
23,Jordan Bruner,Jr,PF,Columbia (SC),Spring Valley High School,Yale
3,Alex Copeland,Sr,PG,North Hollywood (CA),Harvard-Westlake School,Yale
10,Matthue Cotton,Fr,SG,Newark (NJ),Eastern Regional High School,Yale
1,Eze Dike,Fr,SG,Montreal,Kimball Union Academy,Yale
11,Michael Feinberg,Fr,SG,Chatsworth (CA),Viewpoint School,Yale
0,Jalen Gabbidon,So,G,Harrisburg (PA),Glenelg High School,Yale
35,Isaiah Kelly,Fr,SF,Hephzibah (GA),Pace Academy,Yale
30,Jake Lanford,Fr,C,Charleston (SC),Porter-Gaud High School,Yale
2,Eric Monroe,Jr,PG,San Diego (CA),St. Augustine High School,Yale
25,Miye Oni,Jr,SF,Los Angeles (CA),Suffield Academy,Yale
13,Trey Phills,Sr,SG,Charlotte (NC),Charlotte Christian School,Yale
32,Blake Reynolds,Sr,PF,Jackson (MO),Jackson High School,Yale
34,Thomas Ryan,Sr,G,New York (NY),Hotchkiss School,Yale
5,Azar Swain,So,PG,Boston (MA),Rivers School,Yale
22,Austin Williams,Jr,F,Jacksonville (FL),The Bolles School,Yale
33,Wyatt Yess,So,PF,Ballwin (MO),Parkway West High School,Yale
